nama_product,brand,shop_id,shop_city,isOfficial,isVerified,price,terjualCount,ratingAverage,viewCount,likedCount,jenis
scarlett scarlet paket perawatan wajah acne facial wash serum cream wajah jerawat,Scarlett,72237071,KOTA JAKARTA UTARA,False,False,220000,35,4.67,1076,16,Facial Wash
scarlett scarlet paket perawatan wajah brightly ever after facial wash serum cream pencerah wajah,Scarlett,277691720,KOTA JAKARTA UTARA,False,False,220000,158,4.89,7996,124,Facial Wash
scarlett scarlet paket perawatan wajah brightly ever after facial wash serum cream pencerah wajah,Scarlett,72237071,KOTA JAKARTA UTARA,False,False,220000,73,4.92,2102,47,Facial Wash
scarlett scarlet paket perawatan wajah brightly ever after facial wash serum cream pencerah wajah,Scarlett,1832948,KOTA JAKARTA UTARA,False,True,220000,36,4.86,2192,52,Facial Wash
paket scarlett wajah 4 in 1  cream night n day serum facial wash,Scarlett,118219795,KOTA JAKARTA TIMUR,False,True,220000,192,4.79,1418,102,Facial Wash
amino acid facial wash 100ml,O'Sweet Singapore,81829676,KOTA JAKARTA UTARA,True,False,219999,432,4.94,1710,268,Facial Wash
kleveru sea buckthorn cleansing gel / pembersih wajah / sabun cuci muka,Others,279799571,KOTA MAKASSAR,False,False,219000,82,4.98,408,19,Facial Wash
mitra resmi whitelab skincare paket wajah brightening serum toner facial wash day night cream,Others,52439454,KAB. SIDOARJO,False,True,208950,161,4.94,1501,109,Facial Wash
paket hemat olay set perawatan krim malam 50gr + krim pagi 50gr + sabun muka 100gr,Olay,16870088,KOTA TASIKMALAYA,False,True,208900,209,4.86,624,121,Facial Wash
ertos for men 3in1  coffe facial wash mentoner all one cream,Others,184979646,KAB. TANGERANG,False,True,206000,116,4.88,910,81,Facial Wash
paket scarlett whitening brightly 4 in 1 - serum+night cream+day cream+facial wash whitening,Scarlett,1897336,KOTA JAKARTA UTARA,False,True,205000,8,5.0,437,5,Facial Wash
70skin acne care facial foam,Others,312659258,KOTA JAKARTA UTARA,False,True,200000,277,4.97,197,14,Facial Wash
paket glanz kecantikan facial foam acne toner day night cream eye gel vit c serum kk indonesia,Glanz,443349800,KOTA BANDUNG,False,False,200000,30,5.0,7,1,Facial Wash
full size lacoco watermelon glow mask free hadalabo gyokujun facial wash 5oml,Others,7130696,KAB. SLEMAN,False,False,200000,108,4.85,1815,134,Facial Wash
sabun muka caviar,Others,28671114,KAB. BLORA,False,False,200000,320,5.0,74,2,Facial Wash
the body shop drop of light facial foam,Others,3630906,KOTA MALANG,False,True,199000,188,4.93,107,120,Facial Wash
drops of light brightening cleansing foam 125ml the body shop / facial foam / foam wash,Others,22076682,KOTA JAKARTA TIMUR,False,True,199000,272,4.96,164,212,Facial Wash
