nama_product,brand,shop_id,shop_city,isOfficial,isVerified,price,terjualCount,ratingAverage,viewCount,likedCount,jenis
you golden age 2 in 1 essence 100ml 1 step for 8 skin solution,Y.O.U,72375863,KOTA TANGERANG,TRUE,FALSE,135150,19388,4.91,18119,7917,Essence
you golden age 2 in 1 essence 100ml 1 step for 8 skin solution,Y.O.U,72375863,KOTA TANGERANG,TRUE,FALSE,135150,19388,4.91,18119,7917,Essence
skin aqua sunscreen uv spf 50 / 30 / 25 / 20 moist milk / gel / mild / white - tone up uv essence,Skin Aqua,30896567,KAB. KARANGANYAR,FALSE,FALSE,41976,19070,4.88,42245,6503,Essence
wardah uv shield aqua fresh essence  active protection serum  spf 50 pa++++ sunscreen,Wardah,744873,KOTA JAKARTA SELATAN,FALSE,TRUE,26900,18940,4.92,123337,4843,Essence
❤ belia ❤ wardah white secret series  day night eye cream brightening essence sleeping mask scrub,Wardah,48382819,KOTA SURABAYA,FALSE,TRUE,21200,18563,4.92,28391,3163,Essence
holika holika pure essence mask sheet,Others,18856010,KOTA JAKARTA BARAT,TRUE,FALSE,11000,17835,4.93,4728,3690,Essence
share in jar cosrx aha bha blackhead aha 7 whitehead centella galactomyces toner snail 96 essence,Cosrx,18687634,KOTA JAKARTA BARAT,FALSE,FALSE,9603,17831,4.87,16519,6770,Essence
npure face essence centella asiatica / acne care cica series,Npure,115276607,KOTA JAKARTA UTARA,TRUE,FALSE,135000,16976,4.92,63033,14928,Essence
wardah sun care sunscreen gel spf 30  40ml  aqua fresh essence  active protection serum uv,Wardah,744873,KOTA JAKARTA SELATAN,FALSE,TRUE,26900,16963,4.91,31434,6679,Essence
secret strike essen pancing umpan mancing galatama ikan mas laut sungai / payau pemancing essence,Others,157869050,KOTA JAKARTA TIMUR,FALSE,TRUE,73000,16925,4.88,1599,510,Essence
whitelab hydrating face essence,Whitelab,201071840,KOTA JAKARTA UTARA,TRUE,FALSE,66832,16865,4.92,62602,6219,Essence
❤ belia ❤ safi age defy series  day night 25 40g  gold water 30 100  youth elixir  serum essence,Safi,48382819,KOTA SURABAYA,FALSE,TRUE,23900,16748,4.92,17548,2246,Essence
somethinc supple power hyaluronic9+ onsen essence toner,Somethinc,195455930,KOTA JAKARTA BARAT,TRUE,FALSE,89000,16555,4.94,180378,7829,Essence
holikaa holikaa pure essence mask sheet,Others,1219163,KOTA TANJUNG PINANG,FALSE,FALSE,8400,16489,4.84,103,3399,Essence
 share in jar  nacific fresh herb phyto niacin serum toner essence,Nacific,73347997,KOTA YOGYAKARTA,FALSE,FALSE,15000,16218,4.87,3645,7993,Essence
❤ belia ❤ safi age defy gold water essence 30  100 halal bpom 30ml 100ml full size travel size,Safi,48382819,KOTA SURABAYA,FALSE,TRUE,112000,16079,4.92,12742,5057,Essence
everwhite essence toner,Everwhite,85451896,KOTA JAKARTA UTARA,TRUE,FALSE,78000,15747,4.87,12402,11061,Essence
everwhite essence toner,Everwhite,85451896,KOTA JAKARTA UTARA,TRUE,FALSE,78000,15747,4.87,12402,11061,Essence
poreless 3 in 1 treatment essence + toner + light hydrate & brighten bantu mengecilkan pori-pori,Others,59474489,KOTA JAKARTA BARAT,TRUE,FALSE,109000,15570,4.93,34070,50639,Essence
woman hygiene treatment essence,Others,75377694,KOTA MADIUN,FALSE,FALSE,165000,15528,4.91,535,188,Essence
rinso molto deterjen cair perfume essence 15 l - deterjen parfum deterjen pewangi,Others,14318452,KOTA BEKASI,TRUE,FALSE,31100,15026,4.94,34643,1109,Essence
mediheal mask sheet  essence ampoule gel premium sheet mask  original korea  masker wajah,Others,187812771,KOTA BANDUNG,FALSE,TRUE,16990,15017,4.94,2748,3138,Essence
biore uv aqua rich watery essence spf50 50g,Biore,30736001,KAB. TANGERANG,TRUE,FALSE,138900,14457,4.9,2083,18361,Essence
somethinc criously 24k gold essence,Somethinc,195455930,KOTA JAKARTA BARAT,TRUE,FALSE,119500,14155,4.93,90695,13812,Essence
nacific natural pacific phyto niacin whitening essence 50ml,Nacific,28029783,KOTA JAKARTA BARAT,FALSE,TRUE,129600,13948,4.86,3007,6862,Essence
longrich natural essence bamboo charcoal whitening soap 350 gr/1box  - b29007,Longrich,130134002,KOTA JAKARTA UTARA,FALSE,FALSE,54500,13947,4.98,84,31,Essence
 dot putih bpom collagen serum sedayu essence,Others,47262315,KOTA BINJAI,FALSE,FALSE,19800,13812,4.89,1272,195,Essence
wardah white secret intense brightening essence serum 17ml,Wardah,39943822,KAB. BOGOR,FALSE,TRUE,63100,13771,4.93,5844,3776,Essence
deep essence treatment ms glow,MS Glow,65240549,KOTA SURABAYA,FALSE,FALSE,112000,13740,4.81,23312,1455,Essence
evershine moringa refresh toner essence,Others,73969875,KOTA JAKARTA BARAT,TRUE,FALSE,157000,13631,4.91,1757,5072,Essence
evershine moringa refresh toner essence,Others,73969875,KOTA JAKARTA BARAT,TRUE,FALSE,157000,13631,4.91,1757,5072,Essence
whitelab body acne peeling retinoid serum soap essence wash day night cream underarm toner mugwort,Whitelab,9664631,KOTA JAKARTA SELATAN,FALSE,TRUE,42000,13550,4.93,53235,2630,Essence
❤ belia ❤ azarine c white series & essence mist ✔️bpom perawatan wajah & tubuh dengan vitamin c,Azaria,48382819,KOTA SURABAYA,FALSE,TRUE,30875,13479,4.92,61350,1822,Essence
mascara evany ei senses waterproof,evany,8457996,KOTA BANJAR,FALSE,FALSE,17500,13101,4.89,464,787,Essence
original bpom skin aqua uv moisture milk gel tone up uv essence,Skin Aqua,3741944,KOTA TANGERANG,FALSE,TRUE,41250,13098,4.92,786,3451,Essence
avoskin perfect hydrating treatment essence  hydrating treatment  refining toner serum retinol,Avoskin,744873,KOTA JAKARTA SELATAN,FALSE,TRUE,71200,12679,4.9,118881,11850,Essence
bpom nacific phyto niacin whitening essence 50ml,Nacific,4853527,KOTA JAKARTA PUSAT,FALSE,TRUE,149850,12465,4.88,1889,6538,Essence
termurah 100% original bqy serum wajah emas 24k gold essence skin care  berat 159 gram ,Others,17777764,KOTA SURABAYA,FALSE,FALSE,18499,12452,4.85,6866,1255,Essence
bpom nacific phyto niacin whitening essence 50ml,Nacific,920406,KOTA JAKARTA BARAT,FALSE,TRUE,134900,12432,4.9,2012,7086,Essence
oh my skin! essence 4in1 produk,Oh My Skin!,226760579,KAB. PATI,TRUE,FALSE,76000,12300,4.9,37957,20967,Essence
❤ belia ❤ hada labo shirojyun ultimate whitening face wash lotion essence milk night cream series,Hada Labo,48382819,KOTA SURABAYA,FALSE,TRUE,44500,12039,4.93,51535,5559,Essence
loreal paris revitalift micro-essence water serum skin care - 130 ml untuk kulit cerah & kencang,L'Oreal Paris,62579622,KOTA JAKARTA UTARA,TRUE,FALSE,212800,11884,4.92,11089,9572,Essence
cod cairan essence penumbuh rambut anti rontok,Clothes of Skin,122048855,Luar Negeri,FALSE,FALSE,31985,11855,4.76,40,679,Essence
ponds bright beauty perfect potion essence / toner 110 ml,Pond's,14318452,KOTA SEMARANG,TRUE,FALSE,63700,11727,4.92,17658,5593,Essence
nk centella essence - jerawat / bekas jerawat  skinexpert id,Nirmala Kalyani,17172689,KAB. TANGERANG,FALSE,TRUE,110000,11635,4.85,1055,2419,Essence
whitelab body serum toner night day cream wash underarm acne soap essence peeling mugwort eye,Whitelab,11868573,KOTA JAKARTA BARAT,FALSE,TRUE,27000,11484,4.91,35228,3586,Essence
olay serum wajah white radiance light perfecting essence pencerah skincare 30ml,Olay,11487927,KAB. DELI SERDANG,TRUE,FALSE,175800,11387,4.91,13404,4011,Essence
npure paket face toner + essence cica series acne series,N'Pure,115276607,KOTA JAKARTA UTARA,TRUE,FALSE,188000,11369,4.93,69983,5925,Essence
biore uv aqua rich watery essence / gel / athlizm / botanical peony spf 50+/pa ++++,Biore,4400168,KOTA SURABAYA,FALSE,TRUE,190000,11265,4.89,371,6123,Essence
cosrx advanced snail 96 mucin power essence 100ml,Cosrx,4911147,KOTA DEPOK,FALSE,FALSE,154000,11120,4.91,1458,10502,Essence
lacoco dark spot essence lcantiflek nasa ori,Others,57496142,KOTA TANGERANG,FALSE,FALSE,153450,11022,4.82,23643,652,Essence
everwhite brightening essence cica soothing acne pair peptide anti aging niacinamide serum eyecream,Everwhite,15967880,KOTA SUKABUMI,FALSE,TRUE,93600,10898,4.88,8575,5352,Essence
cod cairan essence penumbuh rambut anti rontok,Others,130192969,Luar Negeri,FALSE,TRUE,29700,10880,4.69,29,943,Essence
lacoco dark spot essence,Others,227110019,KAB. SEMARANG,FALSE,FALSE,200000,10762,4.6,3790,153,Essence
loreal revitalift crystal micro essence - centella asiatica 65ml  130 ml,L'Oreal Paris,4954819,KOTA JAKARTA BARAT,FALSE,TRUE,103350,10563,4.9,1082,6806,Essence
lacoco dark spot essence penghilang flek hitam lacoco anti flek en nature,Others,223580552,KOTA JAKARTA TIMUR,FALSE,FALSE,190000,10554,4.8,1675,124,Essence
bpom pyunkang yul essence toner 30 ml  100 ml  200 ml,Pyunkang Yul,744873,KOTA JAKARTA SELATAN,FALSE,TRUE,92400,10552,4.9,61968,6399,Essence
erha truwhite niacinamide & starfish essence brightening night cream 30g - krim malam pencerah wajah,Erha,129153987,KOTA JAKARTA UTARA,TRUE,FALSE,170000,10437,4.9,17291,5559,Essence
pewangi essen essence esens slime makanan,Others,5510223,KOTA JAKARTA BARAT,FALSE,FALSE,4900,10359,4.71,1940,3133,Essence
 grosir termurah!  laneige white dew original ampoule essence sample size sachet,Laneige,10038104,KOTA YOGYAKARTA,FALSE,TRUE,14950,10265,4.83,672,1630,Essence
cosrx good morning cleanser / toner / essence / sunscream / best seller,Cosrx,1644944,KOTA SURABAYA,FALSE,TRUE,35400,10225,4.92,23623,6371,Essence
nacific natural pacific phyto niacin whitening essence bpom,Nacific,11868573,KOTA JAKARTA BARAT,FALSE,TRUE,143000,10146,4.85,371,7823,Essence
lacoco cosvie woman hygiene treatment essence original,Cos-Vie Naturals,157093382,KOTA JAKARTA TIMUR,FALSE,FALSE,275000,10122,4.85,1646,212,Essence
woman hygiene treatment essence nasa,Others,141946579,KAB. MAGETAN,FALSE,FALSE,165000,10011,4.93,131,12,Essence
lacoco dark spot essence untuk menyamarkan flek hitam di wajah dan membersihkan bekas jerawat hitam,Lacoco En Nature,227497765,KOTA BEKASI,FALSE,FALSE,190000,10000,5,998,25,Essence
safi age defy gold water essence 100 ml / mini size 30 ml / safi age defy serum / age defy series,Safi,744873,KOTA JAKARTA SELATAN,FALSE,TRUE,24800,9901,4.9,8823,2248,Essence
lux botanicals body wash bird of paradise vitamin e essence 450 ml,Others,14318452,KOTA BEKASI,TRUE,FALSE,23700,9870,4.93,5133,1248,Essence
cosrx advanced snail 96 mucin power essence,Cosrx,18995202,KOTA JAKARTA PUSAT,FALSE,FALSE,144000,9777,4.88,291,7374,Essence
bio essence bio bounce collagen cleanser 100 gr,Bio Essence,63822287,KOTA BALIKPAPAN,TRUE,FALSE,55200,9766,4.92,6638,3316,Essence
bpom pyunkang yul essence toner,Pyunkang yul,225713858,KOTA JAKARTA SELATAN,FALSE,FALSE,91000,9542,4.9,27328,5609,Essence
✨lacikosme✨ bioaqua serum wajah 24k gold essence 30ml - serum gold bioaqua bpom original,Bioaqua,2116976,KOTA SURABAYA,FALSE,FALSE,35595,9398,4.87,774,1081,Essence
essence / essence slime / pewangi 10ml by eliptoys,Others,86714366,KOTA JAKARTA BARAT,FALSE,TRUE,10800,9374,4.83,4985,5613,Essence
serum collagen  whitening/ serum essence vit-e 30ml colagen holo emas bersegel,Sadayu,5934796,KOTA MEDAN,FALSE,FALSE,18500,9240,4.89,1673,194,Essence
